TaskID,TaskAO,StationID,Team,Start,End,Duration
218,BMYY00-0311,4,"[87, 18]",145.1835678000502,146.13771770265947,0.9541499026092595
228,A-5,0,[],147.31407078379934,147.31407078379934,0.0
232,DFQJA3-0880,4,"[19, 87]",147.31407078379934,148.13859421603487,0.8245234322355373
230,DFQJA3-0860,4,"[53, 32]",147.31407078379934,148.26563459237266,0.9515638085733258
238,DFQJA3-0980,2,"[22, 33]",147.31407078379934,148.32214287622293,1.008072092423589
239,DFQJA3-0990,3,"[70, 21]",147.31407078379934,148.33155505041904,1.0174842666197037
229,DFQJA3-0850,1,"[38, 27]",147.31407078379934,148.42755382692494,1.1134830431255978
237,DFQJA3-0970,1,"[93, 51]",147.31407078379934,148.25497573726204,0.9409049534627059
231,DFQJA3-0870,3,"[70, 81]",148.33155505041904,149.21042025959426,0.8788652091752169
240,DFQJA3-1000,2,"[77, 47]",147.31407078379934,148.27910233896407,0.9650315551647282
236,DFYYA4-1240,5,"[5, 4]",148.27910233896407,152.22634525616806,3.947242917203994
234,DFZYA4-1220,5,"[15, 42]",148.32214287622293,153.15173279909166,4.829589922868735
233,DFZYA4-1210,2,"[47, 59]",148.42755382692494,152.4206100251101,3.9930561981851724
235,DFYYA4-1230,5,"[15, 42]",153.15173279909166,157.9813227219604,4.829589922868735
241,A-6,0,[],157.9813227219604,157.9813227219604,0.0
280,AEHS00-0150,2,[33],157.9813227219604,161.4267953959365,3.4454726739760986
263,ACWC00-0190,3,[35],157.9813227219604,159.87524073594304,1.893918013982642
283,ENQSA2-0140,4,"[19, 32]",157.9813227219604,159.72163956278197,1.7403168408215777
270,ABWC00-0170,5,[29],157.9813227219604,161.5226928931415,3.5413701711811143
289,ARHS00-0150,1,[51],157.9813227219604,161.34163673109168,3.3603140091312866
288,ENHSA2-0160,5,"[5, 4]",157.9813227219604,159.714258631232,1.7329359092716174
265,ABWC00-0120,4,[53],157.9813227219604,161.94849732527624,3.96717460331584
287,ENQSA2-0100,4,"[18, 32]",159.72163956278197,161.53833834938916,1.8166987866071906
256,ADHD00-0080,2,[59],157.9813227219604,161.36240110940838,3.3810783874479853
278,ABHS00-1610,3,"[70, 21]",157.9813227219604,162.27736746314164,4.296044741181248
242,AAQX00-0120,4,[87],159.72163956278197,161.2278893863633,1.506249823581328
254,ADHD00-0060,2,[47],157.9813227219604,161.35447086212176,3.373148140161362
252,AKWC00-0120,4,"[87, 18]",161.53833834938916,164.11454313193158,2.576204782542419
271,ABWC00-0180,1,[40],157.9813227219604,161.21269338801787,3.2313706660574724
267,ABWC00-0140,4,[32],161.53833834938916,165.30775084099236,3.769412491603191
268,ABWC00-0150,2,[50],161.35447086212176,165.73243261833855,4.377961756216791
266,ABWC00-0130,4,[53],161.94849732527624,165.81394935983838,3.8654520345621393
250,AKHS00-0100,5,"[0, 78]",157.9813227219604,159.75702879958007,1.7757060776196738
290,ARHS00-0160,1,[13],157.9813227219604,161.43664212035037,3.4553193983899746
243,AAQS00-0130,3,[65],157.9813227219604,166.98698063594745,9.00565791398705
269,ABWC00-0160,3,[71],159.87524073594304,163.88561737267216,4.01037663672912
261,ACWB00-0175,2,[77],161.35447086212176,162.22002648908625,0.8655556269644933
273,ABWCB1-0110,4,"[19, 53]",165.81394935983838,166.6942336446982,0.8802842848598118
279,AEHS00-0140,4,[19],166.6942336446982,169.60183884522993,2.907605200531748
282,ENQSA2-0150,3,"[75, 91]",159.87524073594304,161.54608225601766,1.6708415200746174
285,ENQSA2-0120,4,"[19, 18]",169.60183884522993,171.2881895196917,1.686350674461778
247,FFHS00-3530,3,"[91, 81]",161.54608225601766,162.63131952741972,1.0852372714020646
272,ABWCB1-0100,2,"[50, 59]",165.73243261833855,166.71277338503072,0.9803407666921657
251,AKHS00-0110,5,"[42, 29]",161.5226928931415,164.20707596831417,2.6843830751726614
284,ENQSA2-0130,5,"[78, 0]",159.75702879958007,161.637188073339,1.8801592737589203
246,AFHS00-0020,2,[33],161.4267953959365,163.7575562087522,2.330760812815697
257,AYQQ00-0100,3,[35],159.87524073594304,166.45411382463777,6.578873088694735
264,ACWC00-0200,3,[65],166.98698063594745,168.78811219614363,1.8011315601961826
258,AYZQ00-0110,3,[21],162.27736746314164,170.05522994121105,7.777862478069409
249,AKHD00-0090,5,[78],161.637188073339,168.02147727277656,6.384289199437575
281,DXHS00-0060,2,"[22, 77]",162.22002648908625,163.65603866780825,1.4360121787219953
